Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Nam Chim 1B Thuy dien Nam Chim,Hydro,Operational,10,2016,Vietnam,Cty CP nang luong Song Lam Son La,,,Vietnam,Cty CP nang luong Song Lam Son La,Vietnam,Son La,Bac Yen,,
Nam Chim 2 Thuy dien Nam Chim,Hydro,Operational,14,2015,Vietnam,Cty CP nang luong Song Lam Son La,,,Vietnam,Cty CP nang luong Song Lam Son La,Vietnam,Son La,Bac Yen,,
Nam Cum Thuy dien Nam Cum,Hydro,Operational,40,2019,Vietnam,Son Da, Hoang Lien Hydropower Vietnam,,,Vietnam,Hoa Phat Vietnam,Vietnam,Lai Chau,,
Nam Cum SHP 1,4,5,Solar,Under Construction,65,2019,Vietnam; Finland,IPP Vietnam-Finland,,,, ,Vietnam,,
Nam Cum SHP 2,3,6,Solar,Under Construction,54,2019,Vietnam; Finland,IPP Vietnam-Finland,,,, ,Vietnam,,
Nam Dik,Hydro,Planned,15,,Thailand,Maysinaew Consulting Group Thailand,,,, ,Laos,Houaphan,Xamneua,,
Nam Dinh 1 Nha may Nhiet dien Nam Đinh 1,Coal,Planned,1200,2024,South Korea; Vietnam; Saudi Arabia,TaeKwang Vina Industrial Cong ty Co phan Tae Kwang Vina Industrial, First National Operation & Maintenance Co NOMAC,South Korea; China,Teakwang Group, Bank of China, China Construction Bank, Export-Import Bank of China, China Development Bank,,
Nam Dinh 2 Nha may Nhiet dien Nam Đinh 2,Coal,Cancelled,1200,2025,South Korea; Vietnam,Cong ty Co phan Tae Kwang Vina Industrial,,,, ,Vietnam,Nam Đinh,Hai Hau,,
Nam Dong,Hydro,Operational,1,1970,Laos,EDL Laos,,,, ,Laos,Louangphrabang,Louangphrabang,,
Nam E-Muon,Hydro,Planned,129,,Laos,Chaluen Sekong,,,Laos,ILF Laos,Laos,Xekong,Lamarm,,
Nam Et 2,Hydro,Planned,170,,Vietnam,Bitexco Group,,,,,Laos,Houaphan,Muang Et,,
Nam Et 5,Hydro,Planned,7.5,,Laos,EDL Laos,,,, ,Laos,Houaphan,Xamneua,,
Nam Et 6,Hydro,Planned,1.8,,Laos,EDL Laos,,,, ,Laos,Houaphan,Xamneua,,
Nam Fah 2,Hydro,Planned,15,,Thailand,Ruamjaipatana Constructtion and Electricity Company Ltd Thailand,,,, ,Laos,Louang Namtha,Namtha,,
Nam Feuang 2,Hydro,Planned,45,,,,,,, ,Laos,Vientiane,Kasy,,
Nam Fueng,Hydro,Planned,28,,Thailand,Syntec Construction Public Company Thailand,,,, ,Laos,Vientiane,Kasy,,
Nam Fueng Torn Lum,Hydro,Planned,4,,Laos,Beautib Lao Company, Ltd.,,,, ,Laos,Vientiane,,
Nam Ghot Ou,Hydro,Operational,0.5,,Japan,JICA Japan,,,, ,Laos,Houaphan,Xamneua,,
Nam Gion Thuy dien Nam Gion,Hydro,Operational,20,2011,Vietnam,Cong ty co phan Đau tu Xay dung va Thuong mai Ha Thao,,,, ,Vietnam,Son La,Muong La,,
Nam Gnala,Hydro,Planned,5,,Laos,Anousin Construction and Trade,,,, ,Laos,Phongsali,Phongsaly,,
Nam Gnon,Hydro,Operational,3,,,,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Had,Hydro,Planned,93,,Vietnam,Hoang Anh Gia Lai Mineral Joint Stock Company Vietnam,,,, ,Laos,Houaphan,Xamneua,,
Nam Had 4,Hydro,Planned,19,,Laos,Lao Electricity Company Ltd Laos,,,, ,Laos,Houaphan,Xamneua,,
Nam Had 5,Hydro,Planned,7.5,,Laos,Lao Electricity Company Ltd Laos,,,, ,Laos,Houaphan,Xamneua,,
Nam Had 6,Hydro,Planned,1.8,,Laos,Lao Electricity Company Ltd Laos,,,, ,Laos,Houaphan,Xamneua,,
Nam Ham,Hydro,Planned,3.5,,,,,,, ,Laos,Bokeo,Houixai,,
Nam Hao,Hydro,Under Construction,15,,Laos,Duangchaleun Co Laos,,,, ,Laos,Xaignabouri,Xayabury,,
Nam He Thuy dien Nam He,Hydro,Operational,16,2014,Vietnam,Nam He Hydrowpoer JSC,,,, ,Vietnam,Đien Bien,Muong Cha,,
Nam Hinboun,Hydro,Under Construction,30,2019,Laos,EDL Laos,,,Thailand,JV-ACAS & SSC Co, Ltd Thailand,Laos,Khammouan,,
Nam Ho,Hydro,Operational,7.5,,,South East Asia Corporation,,,, ,Vietnam,Lao Cai,Bat Xat,,
Nam Hoa 1,Hydro,Operational,18,2015,Vietnam,ANPHA Hydro Power JSC,,,, ,Vietnam,Son La,Thuan Chau,,
Nam Hong,Hydro,Planned,14,,,Nalinny Co,,,, ,Laos,Houaphan,Xamneua,,
Nam Hong Thuy dien Nam Hong,Hydro,Operational,8,2013,Vietnam,Cty CP Xay dung va Thuong mai Lam Son,,,, ,Vietnam,Son La,Muong La,,
Nam Hong 2 Thuy dien Nam Hong 2,Hydro,Operational,8,2012,Vietnam,Cty CP Xay dung va Thuong mai Lam Son,,,, ,Vietnam,Son La,Muong La,,
Nam Hong Biogas Project,Waste,Unknown,2.126,,Thailand,Nam Hong Power Co Ltd,,,Netherlands,Carbon Partners Asiatica Hong Kong Co Ltd.,Thailand,Krabi,Khao Phanom,,
Nam Houn 1,Hydro,Planned,15,,Laos,Duangchaleun Co Laos,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Houn 2,Hydro,Planned,15,,Laos,Duangchaleun Co Laos,,,, ,Laos,Phongsali,Phongsaly,,
Nam Houn 3,Hydro,Planned,15,,Laos,Duangchaleun Co Laos,,,, ,Laos,Phongsali,Phongsaly,,
Nam Hound Nua Pakmed,Hydro,Planned,5,,,,,,, ,Laos,Phongsali,Phongsaly,,
Nam Hoy,Hydro,Planned,5,,,,,,Laos,Hongkham Construction Co Laos,Laos,Xaignabouri,Xayabury,,
Nam Huay,Hydro,Planned,12,,Thailand,Patanasatien Luisorn Company Ltd Thailand,,,, ,Laos,Attapu,Xaysetha,,
Nam Huong 1,Hydro,Under Construction,12.5,2019,Thailand,Srimuang Group Thailand,,,, ,Laos,Xaignabouri,Xayabury,,
Nam Jad 1,Hydro,Planned,5,,Thailand,Amata Lanxang Co,,,, ,Laos,Xiangkhoang,Kham,,
Nam Jad 1,Hydro,Planned,15,,Thailand,Duangcharoen Construction and Development Company Ltd Thailand,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Jad 2,Hydro,Planned,15,,Thailand,Taewdao and Songserm Painting Company Ltd Thailand,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Jad 3,Hydro,Planned,8,,Thailand,Amata Lanxang Co,,,, ,Laos,Xiangkhoang,Kham,,
Nam Jae,Hydro,Under Construction,100,2018,Laos,EDL Laos,,,, ,Laos,Louang Namtha,Namtha,,
Nam Jae Torn Lum,Hydro,Planned,3,,Laos,Hydro Lao Company Ltd Laos,,,, ,Laos,Louang Namtha,Namtha,,
Nam Kaem,Hydro,Planned,5,,Switzerland,SV Group PPNK Switzerland,,,, ,Laos,Vientiane prefecture,Sisattanak,,
Nam Kai,Hydro,Planned,3,,Thailand,Padang Construction Company Ltd Thailand,,,, ,Laos,Vientiane prefecture,Sisattanak,,
Nam Kam,Hydro,Planned,0.5,,Thailand,Samcharoen Thailand,,,, ,Laos,Houaphan,Xamneua,,
Nam Kam 2,Hydro,Planned,15,,India,SPS Construction and Electricity Company Ltd India,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Kam Torn Lum,Hydro,Planned,2.4,,Laos,Maisak Luang Phrabang Company Ltd Laos,,,, ,Laos,Vientiane,Kasy,,
Nam Kam Torn Teung,Hydro,Planned,15,,USA,Intra Corporation Company Ltd USA,,,, ,Laos,Vientiane,Kasy,,
Nam Kamtornlum,Hydro,Planned,10,,Thailand,MP Company Thailand,,,, ,Laos,Oudomxai,Beng,,
Nam Kang,Hydro,Planned,12,,Thailand,Charoensab Company,,,, ,Laos,Bolikhamxai,Pakkading,,
Nam Kaouan,Hydro,Planned,5,,Laos,Phongsapthawi Company Laos,,,, ,Laos,Attapu,Xaysetha,,
Nam Ken,Hydro,Planned,5,,Laos,Hongsa Power Ltd Laos,,,, ,Laos,Xaignabouri,Hongsa,,
Nam Khan 1,Hydro,Under Construction,101.8,2019,,,,,, ,Laos,Louangphrabang,Phonxay,,
Nam Khan 2,Hydro,Operational,130,2016,China; Laos,Power Construction Corp, China China 85 PCT, EDL Laos 15 PCT,China,China EXIM Bank China,China,Power Construction Corp, China Bureau 10 Co,,
Nam Khan 3,Hydro,Operational,60,2017,China; Laos,Power Construction Corp 80 PCT China, EDL 15 PCT Laos,China,China EXIM Bank China,China,Power Construction Corp, China Bureau 10 Co, Ltd China,,
Nam Khanh Thuy dien Nam Khanh,Hydro,Operational,12,2012,Vietnam,Cong ty co phan Song Đa 9,,,, ,Vietnam,Lao Cai,Bac Ha,,
Nam Khok,Hydro,Planned,55,,,,,,, ,Myanmar,Shan,Mongsat,,
Nam Khot Thuy dien Nam Khot,Hydro,Operational,14,2011,Vietnam,Nam Khot Hydropower JSC.,,,, ,Vietnam,Son La,Muong La,,
Nam King 3,Hydro,Planned,45,,Vietnam; Laos,Hoang Anh Giai Lai 80 PCT Vietnam - EDL 20  PCT Laos,,,, ,Laos,Louangphrabang,Xieng Ngeun,,
Nam Ko,Hydro,Operational,1.5,1996,Laos,EDL Laos,,,, ,Laos,Oudomxai,Xay,,
Nam Kong 0,Hydro,Planned,24,,,,,,, ,Laos,Xaignabouri,Xayabury,,
Nam Kong 1,Hydro,Under Construction,150,2021,China; Laos,EDL, China International Water & Electric Corporation CWE, Investment and Hydro Power Consultant Sole Co,,,, ,Laos,,
Nam Kong 2,Hydro,Operational,66,2014,Laos,Chaleun Sekong Energy Co,Vietnam,Bank for Investment and Development of Vietnam Vietnam,Vietnam,Hoang Anh Gia Lai,Laos,Attapu,Phouvong,,
Nam Kong 3,Hydro,Operational,54,2020,Laos,Chaleun Sekong Energy Co,,,Finland; China,Poyry, China Gezhouba Group Co,Laos,Attapu,,
Nam La Thuy dien Nam La,Hydro,Operational,27,2011,Vietnam,Noth West VIWASWEEN Hydro Power JSC Vietnam Water and Environment Investment Corporation – JSC,,,, ,Vietnam,Son La,Muong La,,
Nam Laeng,Hydro,Planned,60,,Vietnam,Venture Capital and Equipment Inc Vietnam,,,, ,Laos,Phongsali,Phongsaly,,
Nam Lam,Hydro,Planned,5,,Thailand,Simsalud Advising Company Ltd Thailand,,,, ,Laos,Xiangkhoang,Kham,,
Nam Leuk,Hydro,Operational,60,2000,Laos,EDL-GEN Laos,Japan; ADB,Asian Development Bank ADB and the Japan Bank of International Cooperation JBIC,, ,Laos,Bolikhamxai,Thaphabath,,
Nam Lik Kangluang 2,Hydro,Planned,5,,South Korea,DMD Company Ltd South Korea,,,, ,Laos,Vientiane,Kasy,,
Nam Lik 1,Hydro,Operational,64,2016,Thailand; South Korea; Laos,Hydro Engineering Thai 40 PCT - PTTi 40 PCT, EDL 10 PCT Laos, POSCO 10 PCT South Korea,Thailand,Thai Banks Thailand,Thailand; South Korea,Hydro Engineering Thailand, POSCO Engineering and Construction Co South Korea,,
Nam Lik 1-2,Hydro,Operational,100,2010,China; Laos,CWE China 90 PCT, EDL Laos 10 PCT Free share,China,China EXIM Bank China,China,China International Water and Electric Co China,Laos,Vientiane,,
Nam Lin,Hydro,Planned,36,2021,Myanmar,MAM Myanmar,,,, ,Myanmar,Shan,Tarchilaik,,
Nam Long,Hydro,Operational,6,2013,Laos,Luang Paseuth Construction Sole Co, Ltd LCC 80 PCT Laos, EDL 20 PCT Laos,,,Laos,Luang Paseuth Construction Sole Co, Ltd LCCLaos,,
Nam Long,Hydro,Planned,13.1,,Thailand,Baktalu Company,,,, ,Laos,Houaphan,Xamneua,,
Nam Long expansion,Hydro,Planned,10.9,,Laos,Nam Long Power Company Ltd Laos,,,, ,Laos,Louang Namtha,Long,,
Nam Luang,Hydro,Planned,6,,Thailand,BML Constructtion and TTF,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Luc,Hydro,Operational,24,,USA,South East Asia Capital Group, Corporation,,,, ,Vietnam,Son La,,
Nam Lum Had To,Hydro,Planned,4,,Thailand,Malinitacharoensai Construction Thailand,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Ma,Hydro,Planned,15,,USA,Geo-Technology Company USA,,,, ,Laos,Louang Namtha,Long,,
Nam Ma Thuy dien Nam Ma,Hydro,Unknown,,,,,,,, ,Vietnam,Lai Chau,Nam Nhun,,
Nam Ma 1,Hydro,Planned,44,,China,Guangdong Electric Company China,,,, ,Laos,Houaphan,Muang Et,,
Nam Ma 2,Hydro,Planned,30,,China,Guangdong Electric Company China,,,, ,Laos,Houaphan,Muang Et,,
Nam Ma 3,Hydro,Planned,18,,China,Guangdong Electric Company China,,,, ,Laos,Houaphan,Muang Et,,
Nam Mad,Hydro,Planned,2,,Thailand,Taewcharoen Construction, Transport and Hydropower Company Ltd Thailand,,,, ,Laos,Xaignabouri,,
Nam Mad,Hydro,Planned,15,,Laos,Phusi Luang Phrabang Construction and Transport Company Ltd Laos,,,, ,Laos,Louangphrabang,Louangphrabang,,
Nam Mad 1,Hydro,Under Construction,15,2018,Laos,Lao Relationship Ltd Laos,,,, ,Laos,Xiangkhoang,Nonghed,,
Nam Mad 2,Hydro,Under Construction,15,2018,Laos,Lao Relationship Ltd Laos,,,, ,Laos,Xiangkhoang,Nonghed,,
Nam Mang 1,Hydro,Operational,64,2018,China; Thailand; Laos,Dong Fang 75 PCT China, A&C 10.75 PCT, EdL 10 PCT Laos, and one other 10 PCT.,,,China,China International Water and Electric Corporation China,,
Nam Mang 3,Hydro,Operational,40,2005,Laos,EDL GEN Laos,China; Laos,Export-Import Bank of China 80% China and from Electricite du Laos 20% Laos,China,China International Water and Electric Corporation China Electricite du Laos Laos; Resource Management and Research LLP Kazakhstan from United Kingdom - consultancy UK,Laos,Vientiane,Thoulakhom,,
Nam Merk 1 Nam Meuk 1,Hydro,Planned,10,,Laos,State Construction and Engineering Laos,,,, ,Laos,Phongsali,Phongsaly,,
Nam Mew 1,Hydro,Planned,15,,Thailand,Ruengprasert Construction and Electricity Establishment Company Thailand,,,, ,Laos,Phongsali,Phongsaly,,
Nam Mo Nam Mo 2,Hydro,Under Construction,90,,Vietnam,Hanoi Investment 65 PCT Vietnam, Viet-Lao Economical Cooperative General Company 35 PCT Vietnam-Laos,Vietnam; World Bank Group,Bank for Investment and Development of Vietnam Vietnam / MIGA World Bank insured,, ,Laos,Xiangkhoang,,
Nam Mo Thuy dien Nam Mo,Hydro,Operational,18,2013,Vietnam,Cong ty Đien luc Mien Bac,,,, ,Vietnam,Nghe An,Ky Son,,
Nam Mo 1,Hydro,Planned,60,,Thailand,Sahamit Patana Company Ltd Thailand,,,, ,Laos,Xiangkhoang,Kham,,
Nam Mo 2 Thuy dien Nam Mo 2,Hydro,Operational,12,2010,Vietnam,Cong ty Đien luc Mien Bac,,,, ,Vietnam,Lai Chau,Than Uyen,,
Nam Mo 3 Thuy dien Nam Mo 3,Hydro,Operational,10,2010,Vietnam,Nam Mo Hydro Power JSC,,,, ,Vietnam,Son La,Bac Yen,,
Nam Mom 2,Hydro,Planned,6.6,,Thailand,Phongsab Tavi Construction and Transport Ltd Thailand,,,, ,Laos,Houaphan,Xamneua,,
Nam Mon,Hydro,Planned,10,,Thailand,BML Construction Company, Ltd.,,,, ,Laos,Vientiane prefecture,,
Nam Mouan,Hydro,Planned,100,,Singapore,Asia Invest and Service,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Mu,Hydro,Operational,12,2004,Vietnam,Song Da Corporation,,,, ,Vietnam,Ha Giang,Bac Quang,,
Nam Muc Thuy dien Nam Muc,Hydro,Operational,44,2014,Vietnam,Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC,,,, ,Vietnam,Đien Bien,Muong Cha,,
Nam Mue,Hydro,Planned,15,,Laos,Lao Electricity State Company Laos,,,, ,Laos,Louangphrabang,Louangphrabang,,
Nam Mung,Hydro,Operational,64,2016,China; Thailand; Laos,Dongfang 75 PCT China, A&C 10.75 PCT, EDL 10 PCT Laos, Xayta Company 4.25 PCT Thailand,,,, ,,
Nam Na 1 Thuy dien Nam Na 1,Hydro,Operational,30,2016,Vietnam,Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC,,,, ,Vietnam,Lai Chau,Phong Tho,,
Nam Na 2 Thuy dien Nam Na 2,Hydro,Operational,66,2015,Vietnam,Hung Hai Lai Chau Construction Co Ltd Cong ty CP tap doan Hung Hai; EVN Vietnam,,,, ,Vietnam,Lai Chau,Sin Ho,,
Nam Na 3 Thuy dien Nam Na 3,Hydro,Operational,84,2016,Vietnam,Hung Hai Lai Chau Construction Co Ltd Cong ty CP tap doan Hung Hai; EVN Vietnam,,,, ,Vietnam,Lai Chau,Nam Nhun,,
Nam Nern 2,Hydro,Planned,1,,Thailand,Bamtong Antay Company,,,, ,Laos,Vientiane,Kasy,,
Nam Neun 1,Hydro,Planned,124,2022,Laos,Vang Sup Development and,,,,,,,,,
Investment Laos, THB Group Sole Co Laos, Khongsub Bridge Construction and Engineering Company Laos,,,, ,Laos,Houaphan,Xamneua,,,,,,
Nam Neun 2,Hydro,Planned,1,,Thailand,Bamtong Antay Company,,,, ,Laos,Xiangkhoang,Kham,,
Nam Neun 3,Hydro,Planned,60,2022,Laos,Vang Sup Development and,,,,,,,,,
Investment Laos, THB Group Sole Co Laos, Khongsub Bridge Construction and Engineering Company Laos,,,, ,Laos,Vientiane,Kasy,,,,,,
Nam Nga 1,Hydro,Planned,100,,Thailand,Thongcharoen Construction Ltd Thailand,,,, ,Laos,Louangphrabang,Nambak,,
Nam Nga 2,Hydro,Operational,14.5,2018,China,Nam Nga 2 Hydropower Co, Ltd. China,,,China,PowerChina Kunming Co China,Laos,Louangphrabang,,
Nam Ngam 1,Hydro,Planned,5,,Thailand,Baosaitarn Development Company, Ltd.,,,, ,Laos,Xiangkhoang,,
Nam Ngao,Hydro,Planned,15,2018,Thailand,HOANGPRASERT Electricity Group Thailand,Switzerland,Swiss Carbon Assets involved Switzerland,, ,Laos,Louangphrabang,Nambak,,
Nam Ngao 2,Hydro,Planned,8,,Thailand,MM Tormsao Company Thailand,,,, ,Laos,Oudomxai,Beng,,
Nam Ngay,Hydro,Operational,12,2001,,,,,, ,Laos,Phongsali,Phongsaly,,
Nam Ngiep 1,Hydro,Operational,290,2019,Japan; Netherlands; Thailand; Laos,Nam Ngiep 1 Hydropower Co, KPIC Netherlands subsidiary of Japan’s Kansai Electric Power 45 PCT, EGAT International 30 PCT, and the Lao Holding State Enterprise 25 PCT,Japan; ADB,ADB; Japan Bank for International Cooperation Japan,, ,,
Nam Ngiep 2,Hydro,Operational,130,2015,China; Laos,China International Water and Electric Co China 90 PCT China, EDL 10 PCT Laos,China,CDB China Develoment Bank,China,China International Water & Electric Corp CWE China,Laos,Xiangkhoang,,
Nam Ngiep 2A,Hydro,Under Construction,12.4,2018,Laos,Nonghai Group Laos,,,China,Norconsult Laos,Laos,Xiangkhoang,Khoune,,
Nam Ngiep 2B,Hydro,Under Construction,8.6,2020,Laos,Nonghai Group Laos,,,China,PowerChina Kunming Co China,Laos,Xaisomboun,Thathom,,
Nam Ngiep 2C,Hydro,Under Construction,13.8,2020,Laos,Nonghai Group Laos,,,China,PowerChina Kunming Co China,Laos,Xiangkhoang,Khoune,,
Nam Ngiep 3A,Hydro,Operational,44,2014,Laos,Chaluen Sekong,,,China,Dongfang Electric Corporation DEC based in Chengdu China China,Laos,Xiangkhoang,Phaxay,,
Nam Ngob - Muang Xai,Hydro,Planned,38,,Thailand,Phongsapthawi Construction Company Ltd Thailand,,,, ,Laos,Bolikhamxai,Viengthong,,
Nam Ngom Torn Teng,Hydro,Planned,14,,USA,LCM Engineering Company Ltd USA,,,, ,Laos,Bolikhamxai,Pakkading,,
Nam Ngum,Hydro,Planned,5,,Laos,DM Construction Company Ltd Laos,,,, ,Laos,Xaignabouri,Xayabury,,
Nam Ngum 1,Hydro,Operational,155,1971,Laos,Electricite du Laos,Japan; World Bank Group,World Bank Group; JBIC,Japan,Japanese contractor Japan,Laos,Vientiane,Keo Oudom,,
Nam Ngum 1 Extension Phase 1,Hydro,Operational,80,2017,Laos,Electricite du Laos,China; Japan,China EXIM Bank, JICA,China,Dongfang Electric Corp,Laos,Vientiane,,
Nam Ngum 1 Extension Phase 2,Hydro,Planned,40,,Laos,Electricite du Laos,Japan,JBIC Japan,, ,Laos,Vientiane,Keo Oudom,,
Nam Ngum 2,Hydro,Operational,615,2010,Thailand; Laos; Japan; USA,Nam Ngum 2 Power Co: Ch. Karnchang Thailand 28.5%, EDL Laos 25%, Ratchaburi Thailand 25%, Bangkok Expressway PCL Thailand 12.5%, Shlapak Group USA 4%, PT construction & Irrigation Co Laos 4%, TEAM Consulting Engineering 1%,Thailand,,
Nam Ngum 3,Hydro,Under Construction,480,2020,Laos,Electricite du Laos,China,China EXIM China,China; Laos; France,Chaleun Sekong Energy Co Laos, Power Construction Corp China, Artelia France,Laos,,
Nam Ngum 4,Hydro,Planned,240,2023,Laos,Electricite du Laos,China,China EXIM China,China; France,China National Heavy Machinery Co China EPC, Artelia France,Laos,Xiangkhoang,,
Nam Ngum 5,Hydro,Operational,120,2012,China; Laos,POWERCHINA 85 PCT, Electricite du Laos 15 PCT,China,China EXIM Bank China,China,Power Construction Corp China,Laos,Louangphrabang,,
Nam Nhone,Hydro,Operational,3,2011,Laos,NamNhone Power Co,,,, ,Laos,Bokeo,Houixai,,
Nam Noua 1,Hydro,Planned,15,,Laos,Heuangpaseut Co,,,, ,Laos,Phongsali,Phongsaly,,
Nam Ou 1,Hydro,Operational,180,2019,China,POWERCHINA,China,China Development Bank,China,POWERCHINA,Laos,Louangphrabang,Park Ou,,
Nam Ou 2,Hydro,Operational,120,2017,China,POWERCHINA,China,China Development Bank,China,POWERCHINA,Laos,Louangphrabang,Ngoi,,
Nam Ou 3,Hydro,Operational,210,2019,China,POWERCHINA,China,China Development Bank,China,POWERCHINA,Laos,Louangphrabang,Ngoi,,
Nam Ou 4,Hydro,Operational,132,2019,China,POWERCHINA,China,China Development Bank,China,POWERCHINA,Laos,Phongsali,Khua,,
Nam Ou 5,Hydro,Operational,240,2017,China; Laos,POWERCHINA 85 PCT, Electricite du Laos 15 PCT,China,China Development Bank,China,POWERCHINA,Laos,Phongsali,,
Nam Ou 6,Hydro,Operational,180,2017,China; Laos,POWERCHINA 85 PCT, Electricite du Laos 15 PCT,China,China Development Bank,China,POWERCHINA,Laos,Phongsali,,
Nam Ou 7,Hydro,Under Construction,210,2020,China,POWERCHINA,China,China Development Bank,China,POWERCHINA,Laos,Phongsali,Phongsaly,,
Nam Ou 8,Hydro,Planned,15,,Thailand,Ruengprasert Construction and Electricity Establishment Co,,,, ,Laos,Phongsali,Phongsaly,,
Nam Pa Tom Terng,Hydro,Planned,1.8,,Thailand,Sadsoda Electricity Co, Ltd.,,,, ,Laos,Attapu,,
Nam Pa Torn Lum,Hydro,Planned,3.2,,Thailand,Sadsoda Electricity Co, Ltd.,,,, ,Laos,Attapu,,
Nam Pac Thuy dien Nam Pac,Hydro,Under Construction,34,2020,Vietnam,tap doan KOSY,,,, ,Vietnam,Lai Chau,Phong Tho,,
Nam Pae,Hydro,Planned,13,,South Korea,Posi Co,,,, ,Laos,Phongsali,Phongsaly,,
Nam Pai,Hydro,Under Construction,3,2016,Thailand,PTT Construction and Electricity Ltd.,,,, ,Laos,Oudomxai,Beng,,
Nam Pak,Hydro,Planned,150,2020,Japan; Laos,Kobe Green Power Co, Ltd. 40 PCT, Electricite du Laos 20 PCT, Unknown investor 20 PCT, Chaluen Sekong,,,Laos,,
Nam Pak Torn Lum,Hydro,Planned,8,,Thailand,Longrai Construction and Transport Co, Ltd.,,,, ,Laos,Champasak,,
Nam Pan 5 Thuy dien Nam Pan 5,Hydro,Under Construction,32,,,,,,, ,Vietnam,Nghe An,Con Cuong,,
Nam Pang,Hydro,Planned,5,,Thailand,Baosaitarn Development Co, Ltd.,,,, ,Laos,Xiangkhoang,,
Nam Pao,Hydro,Operational,2,2011,Laos,Simuang Group 87 PCT, Phudoi Development Co13 PCT,,,, ,Vietnam,Nghe An,,
Nam Paw,Hydro,Under Construction,20,,Myanmar,Great Hor Kham Co,,,, ,Myanmar,Shan,Muse,,
Nam Perm,Hydro,Under Construction,12,2016,Thailand,Yodcharoen Co, Ltd.,,,, ,Laos,Vientiane prefecture,,
Nam Pha,Hydro,Planned,180,,Singapore; Laos,Asia Pacific Business Link HND Berhard 80 PCT, Electricite du Laos 20 PCT,,,, ,Laos,Louang Namtha,,
Nam Pha Ngai,Hydro,Operational,19.2,2020,Laos,Nam Pha Ngai Co, Ltd.,Switzerland,Swiss Carbon Assets Ltd,Laos,DSK Group,Laos,Xaisomboun,,
Nam Phak,Hydro,Planned,75,,Singapore; Laos,Nava Barat 65 PCT, Electricite du Laos 15 PCT, Green Kobe Power Co, Ltd. 20 PCT ,,,, ,,
Nam Phak 1,Hydro,Planned,28,,Laos,Sahamit Patana Co, Ltd.,,,, ,Laos,Oudomxai,,
Nam Phak 2,Hydro,Planned,28,,Laos,Sahamit Patana Co, Ltd.,,,, ,Laos,Oudomxai,,
Nam Phak 3,Hydro,Planned,40,,Laos,Sahamit Patana Co, Ltd.,,,, ,Laos,Oudomxai,,
Nam Phang,Hydro,Operational,36,2012,USA; Vietnam,IPA Investment, Bac Ha Energy JSC,,,China,Zhejiang Hydropower Construction and Installation Co, Ltd,Vietnam,,
Nam Phay,Hydro,Operational,86,2018,China; Laos,Norinco 85 PCT, Electricite du Laos 15 PCT,China,China EXIM Bank China,, ,Laos,Xaisomboun,,
Nam Phayu,Hydro,Planned,30,,,,,,, ,Laos,Xekong,Dakcheung,,
Nam Phon,Hydro,Planned,52.8,,France; Laos,Valcan Energy, ECL,,,, ,Laos,Xaisomboun,,
Nam Phong Blocks 1-2,Gas,Operational,710,1994,Thailand,EGAT,,,, ,Thailand,Khon Kaen,Nam Phong,,
Nam Phong Power Station,Biomass,Operational,9.9,2012,,,Thailand,,Thailand,Khon Kaen Sugar Industry Public Company Limited,Thailand,Khon Kaen,Nam Phong,,
Nam Pia Thuy dien Nam Pia,Hydro,Operational,15,2009,Vietnam,Lam Son Construction & Commerce Co, Ltd.,,,, ,Vietnam,Son La,,
Nam Pim,Hydro,Planned,12,,India,Asom Powergrid Co, Ltd.,,,, ,Laos,Attapu,,
Nam Pod,Hydro,Planned,15,,USA,ACE Consultant,,,, ,Laos,Vientiane,Thoulakhom,,
Nam Pong,Hydro,Operational,32,2014,Vietnam; Switzerland,Za Hung JSC.,,,, ,Vietnam,Nghe An,Quy Chau,,
Nam Pord,Hydro,Planned,5,,Thailand,Tedmani Construction-Transport Co, Ltd.,,,, ,Laos,Xaignabouri,,
Nam Pot 1,Hydro,Under Construction,20,,,,,,, ,Laos,Xiangkhoang,Phaxay,,
Nam Puek,Hydro,Under Construction,5,2018,Thailand,National Advisory Co, Ltd.,,,, ,Laos,Louang Namtha,,
Nam Pui,Hydro,Planned,60,,Malaysia,Mudajaya Corporation Berhard Malaysia,,,Thailand,Sukkasoem Construction Thailand,Laos,Xaignabouri,Phiang,,
Nam Pui Torn Lue,Hydro,Planned,5,,Thailand,Rai Engineering Co,,,, ,Laos,Xaignabouri,Xayabury,,
Nam Pun,Hydro,Planned,60,,,Sod Tampailaexam,,,, ,Laos,Xaignabouri,Parklai,,
Nam Pung,Hydro,Operational,9.3,2009,Greece,Intracom,,,, ,Vietnam,Lao Cai,Bat Xat,,
