Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Ban Beung Power Plant,Biomass,Operational,9.9,2012,Thailand,Advance Clean Power Co, Ltd.,,,, ,Thailand,Chon Buri,,
Ban Chan De Hydropower Plant,Hydro,Under Construction,18,2020,Thailand,EGAT,,,, ,Thailand,Kanchanaburi,Muang Kanchanaburi,,
Ban Chat Thuy dien Ban Chat,Hydro,Operational,220,2013,Vietnam,EVN,,,Vietnam,Infrastructure Development and Construction CorporationLICOGI,Vietnam,Lai Chau,Than Uyen,,
Ban Coc,Hydro,Operational,18,2009,Vietnam,Que Phong Hydropower JSC,,,, ,Vietnam,Nghe An,Que Phong,,
Ban Khun Klang Dam,Hydro,Operational,0.2,1982,Thailand,EGAT Thailand,,,, ,Thailand,Chiang Mai,Chom Thong,,
Ban Kluai Solar Power Plant,Solar,Operational,7.4,,Thailand; Japan,Gunkul Chubu Powergen Company Limited Thailand, Japan,,,, ,Thailand,Phetchabun,,
Ban Koum,Hydro,Planned,1872,,Thailand; Laos,Italian Thai and Asian Corp Holdings Limited Thailand,,,, ,Thailand,Ubon Ratchathani,Khong Chiam,,
Ban Krut Power Plant,Gas,Unknown,1400,,Thailand; Japan; Hong Kong, China,Union Power Development Co Ltd. Thailand; Tomen Co Japan; Toyota Tsusho Japan; Shubu Electric Japan; Hong Kong Electric,,,, ,Thailand,Rayong,,
Ban Ra,Hydro,Operational,18,2012,Vietnam,Dong Bac. EL JSC,,,, ,Vietnam,Cao Bang,Trung Khanh,,
Ban Santi,Hydro,Operational,1.28,1981,Thailand,EGAT Thailand,,,, ,Thailand,Yala,Bannang Star,,
Ban Ve Thuy dien Ban Ve,Hydro,Operational,320,2010,Vietnam,EVN Vietnam,,,Vietnam,Song Da Construction Corp.,Vietnam,Nghe An,Tuong Duong,,
Ban Yang Dam,Hydro,Operational,0.13,1972,Thailand,EGAT Thailand,,,, ,Thailand,Chiang Mai,Mae Chaem,,
Bang Ban Solar Power Plant,Solar,Operational,7,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Phra Nakhon Si Ayutthaya,,
Bang Bo,Gas,Operational,350,2000,Thailand,Eastern Power and Electric Company,,,, ,Thailand,Samut Prakan,Bang Bo,,
Bang Lang Dam,Hydro,Operational,76,1981,Thailand,EGAT Thailand,,,, ,Thailand,Yala,Bannang Star,,
Bang Pakong,Gas,Operational,4384,,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Chachoengsao,Bang Pakong,,
Bang Pakong Power Plant,Gas,Operational,2490,1985,Thailand,EGAT Thailand,,,, ,Thailand,Chachoengsao,Bang Pakong,,
Bang Sai Solar Power Plant,Solar,Operational,1.7,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Phra Nakhon Si Ayutthaya,,
Bang Wou Power Plant,Biomass,Unknown,3,1987,Thailand,Advance Power Conversion Co, Ltd.,,,, ,Thailand,Suphan Buri,,
Bangchak Solar Power Plant,Solar,Operational,16,,Thailand,Bangchak Solar Energy Company, Ltd.,,,, ,Thailand,Phra Nakhon Si Ayutthaya,,
Bangchak Solar Power Project,Solar,Operational,44.5,2013,Thailand,SOLARCO COMPANY LIMITED Thailand, Yanhee EGCO Holding Thailand,ADB,ADB,, ,Thailand,Phra Nakhon Si Ayutthaya,,
Bangkok Hsfc Plant 2R,Coal,Operational,36,2000,Thailand,Hiang Seng Fibre Container Co Thailand,,,, ,Thailand,Phra Nakhon Si Ayutthaya,Nakhon Luang,,
Bangkok Kamphaeng Saen East,Waste,Unknown,8,,Thailand,Bangkok Greenpower Co, Ltd.,United Kingdom,Xentolar Holdings Ltd. UK; Sindicatum Carbon Capital Ltd. UK,, ,Thailand,Nakhon Pathom,,
Bangkok Kamphaeng Saen West,Waste,Unknown,8,,Thailand,Progress Energy Co Ltd,Thailand; United Kingdom,Zenith Green Energy Co Ltd. Thailand; Xentolar Holdings Ltd. UK; Sindicatum Carbon Capital Ltd. UK,, ,Thailand,Nakhon Pathom,Kamphaeng Saen,,
Bangna Starch Wastewater Treatment,Waste,Unknown,2.85,,Thailand,P & Papop Renewable Co Ltd.,,,Switzerland,South Pole Carbon Asset Management ltd.,Thailand,Kalasin,Yang Talat,,
Bangpakong Power Plant,Biomass,Unknown,10.4,1991,Thailand,Advance Power Conversion Co, Ltd.,,,, ,Thailand,Chachoengsao,,
